,Title,Company,City,Experience,working_mode,Publish,status,Category
0,Data Entry Operator,SERVIQ BUSINESS SOLUTIONS ,"Vapi,Silvassa, Valsad, Daman",1 to 5 Yrs,Regular,2 days ago,Hot,Experienced
1,Lead Consultant - Big data developer,Genpact India Pvt. Ltd.,Hyderabad,2 to 5 Yrs,Be an Early ApplicantRegular,1 day ago,Premium,Experienced
2,Postedfor - Manager - Data Scientist,Genpact India Pvt. Ltd.,Gurugram,1 to 3 Yrs,Be an Early ApplicantRegular,1 day ago,Premium,Experienced
3,Data Analyst,Gaurangi Consultants ,Delhi,0 Yrs,Regular14 ,7 days ago,,Fresher
4,"Data EntryI Work from Home l E-Book typing, Excel, Ma ...",Max Data Entry Services LLP,"Jammu,Dehradun, Cuttack, Imphal, Agartala, Gangtok, Ludhiana, Nagpur, Vadodara, Meerut",0 to 4 Yrs,Remote20 ,5 days ago,,Fresher
5,Data EntryI Work from Home l Online and Offline Data...,Max Data Entry Services LLP,"Madurai,Salem, Tiruchirappalli, Shillong, Amritsar, Jamshedpur, Bhillai, Mysore, Panaji, Shimla",0 to 4 Yrs,Remote20 ,5 days ago,,Fresher
6,Data EntryI Work from Home l Online and Offline Data...,Max Data Entry Services LLP,"Bhubaneswar,Bangalore, Chennai, Kochi, Mohali, Raipur, Vellore, Surat, Ahmedabad, Allahabad",0 to 4 Yrs,Remote20 ,6 days ago,,Fresher
7,Online and Offline Data Entry Work I Work from Home I U ...,Max Data Entry Services LLP,"Varanasi,Nashik, Ghaziabad, Kota, Faridabad, Anand, Aizawl, Ranchi, Bikaner, Moradabad",0 to 4 Yrs,Remote25 ,2 weeks ago,,Fresher
8,Online and Offline Data Entry Work I Work from Home I U ...,Max Data Entry Services LLP,"Noida,Indore, Lucknow, Hyderabad, Vijayawada, Gurugram, Aurangabad, Delhi, Coimbatore, Guwahati",0 to 4 Yrs,Remote25 ,1 week ago,,Fresher
9,"Data EntryI Work from Home l Excel, Typing, Manual Ha ...",Max Data Entry Services LLP,"Gandhinagar,Jaipur, Tirupati, Vishakhapatnam, Pune, Chandigarh, Mumbai City, Mangalore, Agra, Thiruvananthapuram",0 to 4 Yrs,Remote20 ,5 days ago,,Fresher
10,Partner Account Manager,Verizon Data Services India Pvt.Ltd,Bangalore,4 to 5 Yrs,Be an Early ApplicantRegular,1 day ago,Hot,Experienced
11,Postedfor - Consultant - Diversity & Inclusion,Verizon Data Services India Pvt.Ltd,Chennai,2 to 4 Yrs,Be an Early ApplicantRegular,1 day ago,Hot,Experienced
12,Senior Engineer Consultant-Data Engineering,Verizon Data Services India Pvt.Ltd,Chennai,10 to 14 Yrs,Regular,1 week ago,,Fresher
13,"Associate/Senior Associate, Data Management",Genpact India Pvt. Ltd.,Bangalore,5 to 14 Yrs,Be an Early ApplicantRegular,1 day ago,Premium,Experienced
14,Senior Associate - Data Analyst,Genpact India Pvt. Ltd.,Noida,5 to 9 Yrs,Be an Early ApplicantRegular,1 day ago,Premium,Experienced
15,Hevo Data - Director - Analytics - IIT/NIT/BITS,Hevo Data,Bangalore,3 to 8 Yrs,Regular,2 weeks ago,,Experienced
16,Management Trainee - MDM,Genpact India Pvt. Ltd.,Bangalore,1 to 2 Yrs,Be an Early ApplicantRegular,0 days ago,Premium,Experienced
17,Project Jerry MM Hiring,Genpact India Pvt. Ltd.,Bangalore,4 to 6 Yrs,Be an Early ApplicantRegular,0 days ago,Premium,Experienced
